makes me feel like,gibt mir das Gefühl
have blood on one's hands,Blut an seinen Händen kleben haben
have something in the bag,etwas in der Tasche im Beutel haben
land oneself in the dog house,sich in Ungnade bringen
make name for oneself (with,sich einen Namen machen (mit
put bee in bonnet,Flausen in den Kopf setzen
put one's finger on the problem,ein das Problem auf den Punkt bringen
put in hell of mess,in Teufels Küche bringen
sort the wheat from the chaff,die Spreu vom Weizen trennen
the (little) guy on Main Street,der (kleine) Mann auf der Straße
the (regular) guy on Main Street,der (einfache) Mann auf der Straße
mind one's P's and Q's,auf sein Auftreten achten
mind one's P's and Q's,sich anständig benehmen
invent,sich aus dem hohlen Finger Zahn saugen
jump ship,abspringen
take heart,sich ein Herz nehmen
on the rack,(wie) auf die Folter gespannt
The devil knows ...,Weiß der Teufel ...
be the shit,der Burner sein
beat death,totreiten
hold one's liquor,einen Stiefel vertragen können
lick one's chops,sich die Lippen lecken
play second fiddle,die zweite Geige spielen
put paid,einen Riegel vorschieben
take one's seat,Platz nehmen
is over the moon,ist ganz rein aus dem Häuschen
choke back one's anger,die Faust im Sack machen
come clean (with it),Farbe bekennen
drop dime on,verraten
get under one's skin,unter die Haut gehen
have by the balls,in der Tasche haben
have under one's belt,im Magen haben
play the Nazi card,die Nazikeule schwingen
run into the ground,in den Sand setzen
sit below the salt,beim Fußvolk sitzen
as sure as eggs is eggs,so sicher wie das Amen in der Kirche
He left me completely in the dark about his plans.,Er ließ mich über seine Pläne völlig im Dunkeln.
He stands there like duck in thunder storm.,Er steht da wie der Ochse vor dem Berge.
His apology was day late and dollar short.,Seine Entschuldigung kam zu spät und war zu dürftig.
don't give hoot one way or the other.,Es ist mir Jacke wie Hose.
don't have eyes in the back of my head.,Ich kann doch meine Augen nicht überall haben.
is all over the map on,hat sich bei (total völlig) verzettelt
Success has many parents but failure is always an orphan.,"Erfolg hat viele Väter, Misserfolg ist immer ein Waisenkind."
The sky hasn't fallen in on him yet.,Noch ist ihm der Himmel nicht auf den Kopf gefallen.
This fell off the back of lorry.,Das ist von der Palette gefallen.
You scared the shit out of me.,Ich hab mir vor Schreck fast in die Hosen gemacht.
be born with silver spoon in one's mouth,mit einem silbernen Löffel im Mund geboren worden sein
be first in the field,der Beste auf dem Gebiet sein
be not quite right in the head,im Kopf nicht ganz frisch sein
be on one's beam-ends,auf dem letzten Loch pfeifen
be on one's last legs,auf dem letzten Loch pfeifen
be on one's last legs,aus dem letzten Loch pfeifen
be unable make head nor or tail of,sich auf keinen Reim machen können
be unable see the forest for the trees,den Wald vor lauter Bäumen nicht sehen können
burn the candle at both ends,die Nacht zum Tage machen
get one's knickers in twist,sich ins Hemd machen
have bone pick with,mit ein Hühnchen zu pflücken haben
have had it up here with,von die Nase gestrichen voll haben
have one's head stuck up one's arse,nicht über den eigenen Tellerrand hinaussehen können
have one's head up one's arse,
hit the sack (for while),sich (eine Zeitlang ein Stündchen) aufs Ohr hauen legen
not be able live it up (with,(mit keine großen Sprünge machen können
not give hoot in hell for,sich einen Dreck um scheren
Unverified put band-aid on bullet wound,Pflaster auf eine Schusswunde kleben
put two and two together,sich an den zehn Fingern abklavieren
set teeth on edge,durch und durch gehen
wear dead albatross around one's neck,eine Bürde tragen
work one's fingers the bone,sich die Finger abarbeiten
Unverified Fair's fair.,Wir wollen doch fair bleiben.
finalize,unter Dach und Fach bringen
Merry England,das gute alte England
from on high,von ganz oben
in one go,in einem Ritt
in one go,in einem Rutsch
bite the dust,das Zeitliche segnen
come fruition,zum Tragen kommen
stand one's ground,die Stellung halten
What's in name?,Name ist Schall und Rauch.
be in the ascendent,auf dem aufsteigenden Ast sein
meet one's maker Maker,vor seinen Schöpfer treten
am at my wit's end.,Ich bin mit meinem Latein meiner Weisheit am Ende.
don't give shit (about that)!,Das geht mir am Arsch vorbei!
"Unverified If it ain't broke, don't fix it.","Man soll nicht reparieren, was nicht kaputt ist."
It's only stone's throw from here.,Es ist nur einen Katzensprung entfernt.
is sick and tired of,hängt zum Hals heraus
That (just) shows what kind of person he is.,"Daran zeigt sich, wes Geistes Kind er ist."
We must live from hand mouth.,Wir müssen von der Hand in den Mund leben.
"Well, look who it isn't ain't!","Schau mal, wer da kommt ist!"
You're as old as you feel.,"Man ist so alt, wie man sich fühlt."
be in one of one's moods,seine fünf Minuten haben
be up shit creek (without paddle),(bis zum Hals) in der Scheiße stecken
be up one's neck in debt,bis zum Hals in Schulden stecken
eat out of from the palm of hand,aus der Hand fressen
get bogged down in the weeds with,sich bei in (den) Einzelheiten verzetteln
have an indirect hand in,indirekt bei seine Hand (mit) im Spiel haben
have had one's fair share of,reichlich abbekommen haben
have the cheek do,sich leisten
keep out of the picture,aus raushalten
not give damn about,sich den Teufel um kümmern
not give damn about,sich den Teufel um scheren
not give shit about,sich einen Dreck um scheren
take the wind out of sails,den Wind aus den Segeln nehmen
mind one's p's and q's,pingelig genau auf die Formen achten
mind one's p's and q's,auf seine Sprache achten
as high as man,so groß wie ein Mann
on the spur of the moment,kurzentschlossen
on the spur of the moment,spontan
mind one's P's and Q's,sich sehr in Acht nehmen
invent,sich aus dem hohlen Zahn ziehen
await convenience,für bereitstehen
await convenience,"warten, bis bereit ist"
toss down,sich hinter die Binde kippen gießen
in the toilet,im Keller
is responsible for,geht auf Rechnung
be in attendance,vor Ort sein
corner the market,
drive home,beibiegen
lose one's way,sich verfahren
There's nothing it.,Da ist nichts dabei.
dig one's heels in,sich auf die Hinterbeine stellen
not have bean,keine müde Mark (mehr) in der Tasche haben
take the cleaners,das Fell über die Ohren ziehen
take the cleaners,übers Ohr hauen
throw for loop,aus dem Konzept bringen
chain is (only) as strong as its weakest link.,Eine Kette ist (nur) so stark wie ihr schwächstes Glied.
Don't be down in the mouth.,Lassen Sie den Kopf nicht hängen.
"If it's not possible, then it's not possible.","Wenn es nicht geht, dann geht es (eben) nicht."
"If you hadn't won, would that have been it?","Wenn Sie nicht gewonnen hätten, wäre es das dann gewesen?"
It goes in one ear and out the other.,Das geht zum einen Ohr hinein und zum anderen wieder hinaus.
It was coup de foudre.,Es war Liebe auf den ersten Blick.
It's time ring the funny farm for him her.,Er Sie ist reif für die Klapsmühle.
There's no telling how long the talks could last.,"Es lässt sich nicht absehen, wie lange die Gespräche dauern werden."
What in heaven's name possessed him do that?,"Was um Himmels willen ritt den denn, das zu tun?"
You can't have your cake and eat it too.,Man kann nicht den Fünfer und das Weggli haben.
You know as much about it as the man in the moon.,Du hast von Tuten und Blasen keine Ahnung.
be (all) up in grill,(schwer) auf die Pelle rücken
be brought (back) down earth (with bang bump jolt),(unsanft jäh) auf den Boden der Realität Tatsachen zurückgeholt werden
Unverified be unable see beyond the end of one's own nose,nicht zum Blick über den Tellerrand fähig sein
go off (at) the deep end (about,(wegen aus der Haut fahren
Unverified have (got it in one (to do,das Zeug dazu haben zu tun)
have hold in the palm of one's hand,fest im Griff haben
not give damn about,auf pfeifen
remove the veil from eyes,den Star stechen
stand (up) and be counted,Farbe bekennen
pull aside,beiseitenehmen
be spoken for,vergeben sein
bring up short,plötzlich (bei zögern lassen
get over with,hinter sich bringen
lose sleep over,sich wegen graue Haare wachsen lassen
put on ice,auf Eis legen
is on radar,fasst ins Auge
be in the zone,in einer Sache völlig aufgehen
get the best of,sich stärker als erweisen
Don't give up your day job!,Häng deinen Beruf nicht gleich an den Nagel!
"Unverified Fair's fair, it was your idea after all.","Du musst (fairerweise) zugeben, es war deine Idee."
He was fretting about what wear.,"Er machte sich einen Kopf, was er anziehen sollte."
wouldn't want be in her shoes.,Ich würde nicht in ihrer Haut stecken wollen.
I've had as much as can handle with them.,Mit denen hat's mir gereicht.
right out in the sticks,in der Pampa
without sou (marqué) in his pockets,ohne einen (roten) Heller in der Tasche
be head over heels in love with,bis über beide Ohren in verliebt sein
be up shit's creek (without paddle),(bis zum Hals) in der Scheiße stecken
bring out of their shell,aus seinem Schneckenhaus locken
fall for in big way,sich bis über beide Ohren in verlieben
Unverified have had more than one's fair share,mehr als genug (gehabt) haben
not care fig about,sich nicht die Bohne für interessieren
not give toss about,sich einen Dreck um scheren
run one's feet off (for,sich die Hacken (nach ablaufen
the greatest thing since sliced bread,das Größte seit der Erfindung der Bratkartoffel
on the spur of the moment,kurz entschlossen
have in spades,viel von besitzen
keep in check,in Schach halten
make nothing of,sich nichts aus machen
sink without trace,(spurlos) von der Bildfläche verschwinden
be over one's head,zu hoch für sein
be put out (about,(über wegen außer sich sein
bust nut doing,sich bei den Arsch aufreißen
not give crap,scheißegal sein
hustle my ass off every day.,Ich reiße mir jeden Tag den Arsch auf.
She's in the family way.,Bei ihr hat's geschnackelt.
You can talk until you're blue in the face!,Und wenn du dich auf den Kopf stellst!
be in the same boat,im selben Boot sitzen
go off the deep end into,sich unüberlegt in stürzen
put throw spanner in into the works,in die Parade fahren
put in good word for (with,für ein gutes Wort (bei einlegen
on the nose,genau
cuts the mustard,bringt es
run on fumes,auf dem Zahnfleisch daherkommen
take one's seat,seinen Platz einnehmen
close one's eyes,die seine Augen vor verschließen
cook up storm,eine große Menge Essen auf einmal kochen
get on the blower,an den Apparat holen
give the lie,Lügen strafen
play second fiddle,in Schatten stehen
And muggins (here) will have do it.,"Und ich bin dann der Dumme, der es machen darf."
Don't be down in the mouth.,Lass den Kopf nicht hängen!
He doesn't exist as far as I'm concerned.,Er ist für mich gestorben.
wouldn't be seen dead in place like that.,Keine zehn Pferde würden mich an solch einen Ort bringen.
wouldn't go out with him for million dollars.,Ich würde für kein Geld der Welt mit ihm ausgehen.
"If you fail plan, then you have planned fail.","Wenn du versäumst zu planen, dann planst du zu scheitern."
It won't be big deal do,"Es wird keine große Sache sein, zu tun."
be for the high jump,sein blaues Wunder erleben
go off the deep end (about,(wegen an die Decke gehen
have tin ear for,kein Ohr für haben
hold keep play one's cards close one's chest,sich nicht in die Karten schauen lassen
lock away in one's heart,im Schrein des seines Herzens bewahren
not have shot in one's locker,Matthäi am Letzten sein
put one's best foot forward,sich von der besten Seite zeigen
take by the scruff of his her neck,am beim Kanthaken nehmen
shower with,mit überhäufen
in any wind and weather,bei in jedem Wind und Wetter
be in the fledgling stage,in den Kinderschuhen stecken
shower with,auf niederregnen lassen
stab in the back,in den Rücken fallen
work hand in glove (with,(mit Hand in Hand arbeiten
carry weight,Gewicht haben
in the ballpark,in dieser Größenordnung
(out) in the sticks,in der tiefsten Provinz
be in the shit,in der Scheiße sitzen
get bogged down in details,sich in Details verzetteln
tackle,an den Hebel ansetzen
chalk up sth,auf Konto schreiben
bury one's head in the sand,den Kopf in den Sand stecken
